label,frequency
introduction,418728
editorial board,377108
index,277552
preface,200327
table of contents,195142
editorial,190264
book reviews,169495
contents,168392
bibliography,109726
notes,109199
conclusion,103994
acknowledgments,96066
masthead,93913
reviews,81787
erratum,78885
foreword,68743
book review,67360
contributors,64638
books received,60923
einleitung,59132
references,56645
inhalt,55012
copyright,46269
front cover,43574
announcements,41306
vorwort,40318
reply,34323
announcement,33007
correction,30464
epilogue,28055
calendar,27901
titelei,26925
abbreviations,26784
errata,26341
inhaltsverzeichnis,26220
discussion,25960
dedication,25737
correspondence,24156
letters to the editor,23641
corrigendum,22764
reviews of books,21872
literaturverzeichnis,21752
bibliographie,21270
list of contributors,20667
glossary,19967
conclusions,19867
letter to the editor,19849
obituary,19283
news,19037
appendix,18559
