Cohort,Score 1,Score 2,Pearson r,Rows
Accepted ambiguous,embedding_cosine,embedding_cosine,1.0,24000
Accepted ambiguous,embedding_cosine,profile_tfidf_score,0.13229705921866183,24000
Accepted ambiguous,embedding_cosine,neighbor_tfidf_score,-0.06319438248861296,24000
Accepted ambiguous,embedding_cosine,abc_score,0.9103990829683378,24000
Accepted ambiguous,profile_tfidf_score,embedding_cosine,0.13229705921866183,24000
Accepted ambiguous,profile_tfidf_score,profile_tfidf_score,1.0,24000
Accepted ambiguous,profile_tfidf_score,neighbor_tfidf_score,-0.008743192791954705,24000
Accepted ambiguous,profile_tfidf_score,abc_score,0.5293578362985554,24000
Accepted ambiguous,neighbor_tfidf_score,embedding_cosine,-0.06319438248861296,24000
Accepted ambiguous,neighbor_tfidf_score,profile_tfidf_score,-0.008743192791954705,24000
Accepted ambiguous,neighbor_tfidf_score,neighbor_tfidf_score,1.0,24000
Accepted ambiguous,neighbor_tfidf_score,abc_score,-0.026393084152774648,24000
Accepted ambiguous,abc_score,embedding_cosine,0.9103990829683378,24000
Accepted ambiguous,abc_score,profile_tfidf_score,0.5293578362985554,24000
Accepted ambiguous,abc_score,neighbor_tfidf_score,-0.026393084152774648,24000
Accepted ambiguous,abc_score,abc_score,1.0,24000
Threshold rejected,embedding_cosine,embedding_cosine,1.0,3462
Threshold rejected,embedding_cosine,profile_tfidf_score,-0.9111024699999839,3462
Threshold rejected,embedding_cosine,neighbor_tfidf_score,-0.07784376644220475,3462
Threshold rejected,embedding_cosine,abc_score,0.10058785252814051,3462
Threshold rejected,profile_tfidf_score,embedding_cosine,-0.9111024699999839,3462
Threshold rejected,profile_tfidf_score,profile_tfidf_score,1.0,3462
Threshold rejected,profile_tfidf_score,neighbor_tfidf_score,0.05331389731817003,3462
Threshold rejected,profile_tfidf_score,abc_score,0.3182157338823528,3462
Threshold rejected,neighbor_tfidf_score,embedding_cosine,-0.07784376644220475,3462
Threshold rejected,neighbor_tfidf_score,profile_tfidf_score,0.05331389731817003,3462
Threshold rejected,neighbor_tfidf_score,neighbor_tfidf_score,1.0,3462
Threshold rejected,neighbor_tfidf_score,abc_score,-0.01728325177737945,3462
Threshold rejected,abc_score,embedding_cosine,0.10058785252814051,3462
Threshold rejected,abc_score,profile_tfidf_score,0.3182157338823528,3462
Threshold rejected,abc_score,neighbor_tfidf_score,-0.01728325177737945,3462
Threshold rejected,abc_score,abc_score,1.0,3462
