dimension,group,evaluable_pairs,mean_jaccard,median_jaccard,pairs_with_shared_neighbor,shared_neighbor_rate,perfect_jaccard_rate
entity_type,author,147263,0.013956750806044246,0.0,2320,0.015754126970114694,0.012515024140483354
entity_type,concept,920,0.0007246376811594203,0.0,2,0.002173913043478261,0.0
entity_type,field,1,0.0,0.0,0,0.0,0.0
entity_type,funder,163,0.0,0.0,0,0.0,0.0
entity_type,institution,10957,0.014129679221530007,0.0,506,0.04618052386602172,0.007575066167746646
entity_type,keyword,46,0.0,0.0,0,0.0,0.0
entity_type,publisher,341,0.006856584275939113,0.0,6,0.017595307917888565,0.002932551319648094
entity_type,source,435,0.0,0.0,0,0.0,0.0
entity_type,subfield,1,0.0,0.0,0,0.0,0.0
entity_type,topic,1,0.0,0.0,0,0.0,0.0
entity_type,work,46900,0.04157678444512133,0.0,2106,0.04490405117270789,0.03878464818763326
source_group,Ranked ambiguous,100685,0.0056589935035368955,0.0,672,0.006674281173958385,0.00497591498237076
source_group,Strict proxy,106343,0.03378983177696828,0.0,4268,0.04013428246334973,0.03051446733682518
overall,All,207028,0.02010881543347639,0.0,4940,0.023861506656104488,0.018094170836795022
